order_id,client_id,restaurant_id,order_datetime,status,total_amount,payment_method,order_items,courier_name,delivery_assigned_time,delivery_actual_time,delivery_status,actual_delivery_address
26,698,16,2026-06-04 17:57:45,доставлен,1211.8,GooglePay,"[{""dish_id"": 305, ""quantity"": 3, ""price_at_order"": 125.4}, {""dish_id"": 313, ""quantity"": 3, ""price_at_order"": 68.6}, {""dish_id"": 314, ""quantity"": 3, ""price_at_order"": 145.7}, {""dish_id"": 307, ""quantity"": 2, ""price_at_order"": 75.4}, {""dish_id"": 303, ""quantity"": 1, ""price_at_order"": 41.9}]",Прохоров Екатерина,2026-06-04 18:02:45,2026-06-04 18:32:45,выполнен,"ст. Ершов, бул. Иванова, д. 73, 093160"
27,542,14,2026-03-21 13:27:14,доставлен,1172.8,ApplePay,"[{""dish_id"": 276, ""quantity"": 2, ""price_at_order"": 124.2}, {""dish_id"": 274, ""quantity"": 1, ""price_at_order"": 142.6}, {""dish_id"": 276, ""quantity"": 1, ""price_at_order"": 124.2}, {""dish_id"": 277, ""quantity"": 2, ""price_at_order"": 114.9}, {""dish_id"": 274, ""quantity"": 3, ""price_at_order"": 142.6}]",Захарова Спартак,2026-03-21 13:37:14,2026-03-21 14:17:14,выполнен,
28,795,12,2026-03-18 04:41:12,доставлен,472.4,ApplePay,"[{""dish_id"": 235, ""quantity"": 1, ""price_at_order"": 52.1}, {""dish_id"": 238, ""quantity"": 3, ""price_at_order"": 36.4}, {""dish_id"": 232, ""quantity"": 2, ""price_at_order"": 132.8}, {""dish_id"": 224, ""quantity"": 1, ""price_at_order"": 45.5}]",Андреева Милий,2026-03-18 04:45:12,2026-03-18 05:11:12,выполнен,
29,898,16,2026-04-14 09:21:34,доставлен,120.9,GooglePay,"[{""dish_id"": 312, ""quantity"": 3, ""price_at_order"": 40.3}]",Щербакова Аким,2026-04-14 09:31:34,2026-04-14 09:43:34,выполнен,
30,323,16,2025-12-26 23:47:50,готовится,387.3,ApplePay,"[{""dish_id"": 310, ""quantity"": 3, ""price_at_order"": 129.1}]",Виноградов Модест,2025-12-26 23:54:50,,в пути,
31,861,14,2026-02-20 02:26:59,готовится,285.2,ApplePay,"[{""dish_id"": 274, ""quantity"": 2, ""price_at_order"": 142.6}]",Елисеева София,2026-02-20 02:29:59,,выполнен,
32,789,12,2026-03-27 01:36:05,доставлен,104.5,GooglePay,"[{""dish_id"": 223, ""quantity"": 1, ""price_at_order"": 38.5}, {""dish_id"": 241, ""quantity"": 2, ""price_at_order"": 33.0}]",Карпов Эдуард,2026-03-27 01:40:05,2026-03-27 02:55:05,выполнен,
33,647,20,2025-12-25 02:30:59,доставлен,115.1,Наличные,"[{""dish_id"": 392, ""quantity"": 1, ""price_at_order"": 18.8}, {""dish_id"": 391, ""quantity"": 1, ""price_at_order"": 96.3}]",Герасимов Велимир,2025-12-25 02:39:59,2025-12-25 03:27:59,выполнен,
34,552,12,2026-02-19 15:21:05,доставлен,231.4,Карта,"[{""dish_id"": 236, ""quantity"": 2, ""price_at_order"": 115.7}]",Крюкова Елизар,2026-02-19 15:31:05,2026-02-19 16:50:05,выполнен,
35,838,18,2026-01-12 12:56:05,доставлен,572.4,ApplePay,"[{""dish_id"": 348, ""quantity"": 2, ""price_at_order"": 139.5}, {""dish_id"": 345, ""quantity"": 2, ""price_at_order"": 146.7}]",Беляев Гостомысл,2026-01-12 12:58:05,2026-01-12 13:58:05,выполнен,
36,669,4,2026-02-26 17:19:43,готовится,749.2,ApplePay,"[{""dish_id"": 71, ""quantity"": 2, ""price_at_order"": 130.3}, {""dish_id"": 70, ""quantity"": 3, ""price_at_order"": 29.8}, {""dish_id"": 68, ""quantity"": 2, ""price_at_order"": 69.3}, {""dish_id"": 71, ""quantity"": 2, ""price_at_order"": 130.3}]",Ермаков Анисим,2026-02-26 17:23:43,,в пути,
37,21,5,2025-12-16 07:24:02,доставлен,553.8,Карта,"[{""dish_id"": 101, ""quantity"": 2, ""price_at_order"": 61.6}, {""dish_id"": 93, ""quantity"": 1, ""price_at_order"": 129.6}, {""dish_id"": 88, ""quantity"": 3, ""price_at_order"": 22.3}, {""dish_id"": 100, ""quantity"": 2, ""price_at_order"": 109.2}, {""dish_id"": 84, ""quantity"": 1, ""price_at_order"": 15.7}]",Николаева Лидия,2025-12-16 07:28:02,2025-12-16 08:21:02,выполнен,
38,410,4,2026-01-15 18:31:10,доставлен,581.8,Карта,"[{""dish_id"": 67, ""quantity"": 3, ""price_at_order"": 56.8}, {""dish_id"": 69, ""quantity"": 2, ""price_at_order"": 147.1}, {""dish_id"": 72, ""quantity"": 2, ""price_at_order"": 58.6}]",Афанасьева Евфросиния,2026-01-15 18:39:10,2026-01-15 19:47:10,выполнен,
39,438,7,2026-05-01 08:23:02,доставлен,492.6,Наличные,"[{""dish_id"": 139, ""quantity"": 3, ""price_at_order"": 65.6}, {""dish_id"": 134, ""quantity"": 2, ""price_at_order"": 42.3}, {""dish_id"": 136, ""quantity"": 2, ""price_at_order"": 105.6}]",Мухин Лидия,2026-05-01 08:25:02,2026-05-01 09:34:02,выполнен,
40,854,9,2026-01-21 01:37:33,доставлен,67.4,ApplePay,"[{""dish_id"": 167, ""quantity"": 1, ""price_at_order"": 67.4}]",Лихачева Филимон,2026-01-21 01:46:33,2026-01-21 02:13:33,выполнен,"с. Черусти, алл. Центральная, д. 98, 821889"
41,700,13,2026-01-19 22:13:49,доставлен,606.0,Карта,"[{""dish_id"": 265, ""quantity"": 2, ""price_at_order"": 63.9}, {""dish_id"": 244, ""quantity"": 3, ""price_at_order"": 126.1}, {""dish_id"": 259, ""quantity"": 1, ""price_at_order"": 99.9}]",Федорова Лаврентий,2026-01-19 22:22:49,2026-01-19 23:20:49,выполнен,
42,595,13,2026-02-02 22:06:29,доставлен,861.7,GooglePay,"[{""dish_id"": 247, ""quantity"": 1, ""price_at_order"": 25.5}, {""dish_id"": 249, ""quantity"": 3, ""price_at_order"": 114.2}, {""dish_id"": 256, ""quantity"": 2, ""price_at_order"": 64.9}, {""dish_id"": 246, ""quantity"": 2, ""price_at_order"": 117.0}, {""dish_id"": 256, ""quantity"": 2, ""price_at_order"": 64.9}]",Гущина Радим,2026-02-02 22:11:29,2026-02-02 22:29:29,выполнен,
43,330,7,2026-03-20 19:50:32,доставлен,1160.6,GooglePay,"[{""dish_id"": 136, ""quantity"": 2, ""price_at_order"": 105.6}, {""dish_id"": 135, ""quantity"": 3, ""price_at_order"": 123.7}, {""dish_id"": 135, ""quantity"": 1, ""price_at_order"": 123.7}, {""dish_id"": 140, ""quantity"": 2, ""price_at_order"": 121.7}, {""dish_id"": 136, ""quantity"": 2, ""price_at_order"": 105.6}]",Лазарев Прасковья,2026-03-20 19:55:32,2026-03-20 20:46:32,выполнен,
44,68,19,2026-05-05 16:33:28,доставлен,129.6,ApplePay,"[{""dish_id"": 373, ""quantity"": 1, ""price_at_order"": 44.0}, {""dish_id"": 382, ""quantity"": 1, ""price_at_order"": 85.6}]",Шарапов Фаина,2026-05-05 16:42:28,2026-05-05 17:49:28,выполнен,
45,173,5,2026-03-07 19:56:18,доставлен,587.8,СБП,"[{""dish_id"": 99, ""quantity"": 3, ""price_at_order"": 111.3}, {""dish_id"": 94, ""quantity"": 1, ""price_at_order"": 46.6}, {""dish_id"": 78, ""quantity"": 3, ""price_at_order"": 69.1}]",Князев Олимпий,2026-03-07 20:02:18,2026-03-07 20:38:18,выполнен,
46,911,9,2026-01-27 03:38:43,доставлен,287.4,СБП,"[{""dish_id"": 163, ""quantity"": 1, ""price_at_order"": 148.4}, {""dish_id"": 168, ""quantity"": 1, ""price_at_order"": 139.0}]",Михеева Ким,2026-01-27 03:43:43,2026-01-27 04:01:43,выполнен,
47,260,3,2026-05-29 21:58:04,доставлен,270.8,GooglePay,"[{""dish_id"": 48, ""quantity"": 2, ""price_at_order"": 37.3}, {""dish_id"": 58, ""quantity"": 3, ""price_at_order"": 53.8}, {""dish_id"": 44, ""quantity"": 1, ""price_at_order"": 34.8}]",Рогова Всемил,2026-05-29 22:01:04,2026-05-29 22:57:04,выполнен,
48,554,2,2026-05-02 10:23:27,отменён,714.0,СБП,"[{""dish_id"": 41, ""quantity"": 2, ""price_at_order"": 114.4}, {""dish_id"": 37, ""quantity"": 2, ""price_at_order"": 60.1}, {""dish_id"": 35, ""quantity"": 3, ""price_at_order"": 61.0}, {""dish_id"": 38, ""quantity"": 1, ""price_at_order"": 144.2}, {""dish_id"": 19, ""quantity"": 1, ""price_at_order"": 37.8}]",,,,,
49,320,3,2026-01-24 01:38:17,доставлен,498.3,Карта,"[{""dish_id"": 45, ""quantity"": 1, ""price_at_order"": 101.7}, {""dish_id"": 44, ""quantity"": 3, ""price_at_order"": 34.8}, {""dish_id"": 47, ""quantity"": 3, ""price_at_order"": 97.4}]",Моисеев Соломон,2026-01-24 01:42:17,2026-01-24 03:02:17,выполнен,
50,673,14,2026-04-24 16:57:43,принят,353.4,Наличные,"[{""dish_id"": 269, ""quantity"": 3, ""price_at_order"": 117.8}]",Герасимов Дорофей,2026-04-24 17:01:43,,назначен,
51,233,3,2026-02-04 23:35:56,готовится,426.1,ApplePay,"[{""dish_id"": 55, ""quantity"": 3, ""price_at_order"": 48.7}, {""dish_id"": 49, ""quantity"": 2, ""price_at_order"": 124.8}, {""dish_id"": 51, ""quantity"": 1, ""price_at_order"": 30.4}]",Давыдов Октябрина,2026-02-04 23:45:56,,в пути,"к. Ставрополь, алл. Коммуны, д. 5 к. 947, 279663"
52,420,14,2026-03-05 19:10:47,доставлен,622.6,СБП,"[{""dish_id"": 272, ""quantity"": 3, ""price_at_order"": 44.5}, {""dish_id"": 278, ""quantity"": 1, ""price_at_order"": 29.0}, {""dish_id"": 282, ""quantity"": 3, ""price_at_order"": 24.4}, {""dish_id"": 269, ""quantity"": 3, ""price_at_order"": 117.8}, {""dish_id"": 279, ""quantity"": 1, ""price_at_order"": 33.5}]",Соболева Антонина,2026-03-05 19:14:47,2026-03-05 20:13:47,выполнен,
53,736,20,2026-02-11 10:51:39,принят,129.4,СБП,"[{""dish_id"": 390, ""quantity"": 1, ""price_at_order"": 129.4}]",Семенова Вадим,2026-02-11 10:57:39,,выполнен,
54,336,1,2026-04-21 13:11:03,доставлен,718.3,GooglePay,"[{""dish_id"": 9, ""quantity"": 3, ""price_at_order"": 108.9}, {""dish_id"": 5, ""quantity"": 3, ""price_at_order"": 26.4}, {""dish_id"": 3, ""quantity"": 1, ""price_at_order"": 109.6}, {""dish_id"": 15, ""quantity"": 2, ""price_at_order"": 101.4}]",Исакова Ульян,2026-04-21 13:21:03,2026-04-21 14:09:03,выполнен,
55,406,2,2026-03-12 00:26:31,принят,623.7,Наличные,"[{""dish_id"": 28, ""quantity"": 2, ""price_at_order"": 114.5}, {""dish_id"": 21, ""quantity"": 1, ""price_at_order"": 51.5}, {""dish_id"": 41, ""quantity"": 3, ""price_at_order"": 114.4}]",Белозеров Ладислав,2026-03-12 00:35:31,,в пути,
56,8,18,2026-01-31 20:14:25,доставлен,490.9,Наличные,"[{""dish_id"": 356, ""quantity"": 3, ""price_at_order"": 67.2}, {""dish_id"": 345, ""quantity"": 1, ""price_at_order"": 146.7}, {""dish_id"": 349, ""quantity"": 2, ""price_at_order"": 71.3}]",Николаева Ферапонт,2026-01-31 20:21:25,2026-01-31 21:18:25,выполнен,
57,367,7,2026-01-11 16:12:40,готовится,756.9,Наличные,"[{""dish_id"": 135, ""quantity"": 3, ""price_at_order"": 123.7}, {""dish_id"": 129, ""quantity"": 3, ""price_at_order"": 93.6}, {""dish_id"": 141, ""quantity"": 1, ""price_at_order"": 105.0}]",Ефремов Никанор,2026-01-11 16:21:40,,назначен,
58,775,17,2026-03-22 03:15:34,готовится,191.4,Наличные,"[{""dish_id"": 329, ""quantity"": 1, ""price_at_order"": 108.1}, {""dish_id"": 331, ""quantity"": 1, ""price_at_order"": 83.3}]",Рожков Вероника,2026-03-22 03:23:34,,выполнен,
59,785,1,2025-12-27 01:16:29,принят,656.0,GooglePay,"[{""dish_id"": 9, ""quantity"": 3, ""price_at_order"": 108.9}, {""dish_id"": 10, ""quantity"": 3, ""price_at_order"": 65.5}, {""dish_id"": 17, ""quantity"": 2, ""price_at_order"": 66.4}]",Костин Исай,2025-12-27 01:20:29,,в пути,
60,751,14,2026-02-22 11:23:01,доставлен,218.8,ApplePay,"[{""dish_id"": 279, ""quantity"": 2, ""price_at_order"": 33.5}, {""dish_id"": 272, ""quantity"": 2, ""price_at_order"": 44.5}, {""dish_id"": 275, ""quantity"": 1, ""price_at_order"": 31.4}, {""dish_id"": 275, ""quantity"": 1, ""price_at_order"": 31.4}]",Лапина Юлиан,2026-02-22 11:33:01,2026-02-22 12:13:01,выполнен,
61,566,11,2026-01-21 02:03:36,готовится,64.1,Карта,"[{""dish_id"": 218, ""quantity"": 1, ""price_at_order"": 64.1}]",Костина Филарет,2026-01-21 02:12:36,,в пути,
62,496,1,2026-04-08 15:17:45,доставлен,635.6,СБП,"[{""dish_id"": 8, ""quantity"": 1, ""price_at_order"": 149.2}, {""dish_id"": 14, ""quantity"": 2, ""price_at_order"": 37.4}, {""dish_id"": 1, ""quantity"": 3, ""price_at_order"": 69.6}, {""dish_id"": 15, ""quantity"": 2, ""price_at_order"": 101.4}]",Горбунова Марк,2026-04-08 15:24:45,2026-04-08 16:28:45,выполнен,"ст. Муром, ш. Николаева, д. 5/3 к. 59, 269089"
63,815,7,2026-05-15 06:13:57,готовится,561.5,СБП,"[{""dish_id"": 127, ""quantity"": 2, ""price_at_order"": 112.3}, {""dish_id"": 127, ""quantity"": 3, ""price_at_order"": 112.3}]",Ситников Карп,2026-05-15 06:21:57,,выполнен,
64,617,16,2026-05-07 14:00:09,принят,573.3,ApplePay,"[{""dish_id"": 310, ""quantity"": 3, ""price_at_order"": 129.1}, {""dish_id"": 325, ""quantity"": 3, ""price_at_order"": 21.7}, {""dish_id"": 312, ""quantity"": 3, ""price_at_order"": 40.3}]",Колобова Харитон,2026-05-07 14:03:09,,в пути,
65,841,11,2026-02-23 08:43:20,доставлен,757.9,ApplePay,"[{""dish_id"": 208, ""quantity"": 2, ""price_at_order"": 28.3}, {""dish_id"": 211, ""quantity"": 1, ""price_at_order"": 65.8}, {""dish_id"": 208, ""quantity"": 1, ""price_at_order"": 28.3}, {""dish_id"": 211, ""quantity"": 3, ""price_at_order"": 65.8}, {""dish_id"": 220, ""quantity"": 3, ""price_at_order"": 136.6}]",Гуляев Панкрат,2026-02-23 08:45:20,2026-02-23 09:07:20,выполнен,"клх Углегорск, ш. Кленовое, д. 33, 687220"
66,534,8,2026-01-22 21:32:23,доставлен,952.5,СБП,"[{""dish_id"": 150, ""quantity"": 3, ""price_at_order"": 100.8}, {""dish_id"": 157, ""quantity"": 2, ""price_at_order"": 109.5}, {""dish_id"": 145, ""quantity"": 1, ""price_at_order"": 99.9}, {""dish_id"": 146, ""quantity"": 3, ""price_at_order"": 110.4}]",Колобов Емельян,2026-01-22 21:36:23,2026-01-22 22:32:23,выполнен,
67,616,6,2026-01-23 15:28:12,доставлен,718.5,Карта,"[{""dish_id"": 115, ""quantity"": 3, ""price_at_order"": 98.6}, {""dish_id"": 102, ""quantity"": 2, ""price_at_order"": 96.6}, {""dish_id"": 114, ""quantity"": 3, ""price_at_order"": 76.5}]",Лыткин Лариса,2026-01-23 15:38:12,2026-01-23 16:26:12,выполнен,
68,409,12,2026-03-28 06:09:56,отменён,556.8,Карта,"[{""dish_id"": 223, ""quantity"": 2, ""price_at_order"": 38.5}, {""dish_id"": 229, ""quantity"": 3, ""price_at_order"": 116.1}, {""dish_id"": 226, ""quantity"": 1, ""price_at_order"": 131.5}]",,,,,
69,858,2,2025-12-20 05:47:52,готовится,1161.4,СБП,"[{""dish_id"": 31, ""quantity"": 2, ""price_at_order"": 123.0}, {""dish_id"": 22, ""quantity"": 2, ""price_at_order"": 143.0}, {""dish_id"": 24, ""quantity"": 3, ""price_at_order"": 48.0}, {""dish_id"": 29, ""quantity"": 3, ""price_at_order"": 124.0}, {""dish_id"": 19, ""quantity"": 3, ""price_at_order"": 37.8}]",Носов Евдокия,2025-12-20 05:49:52,,выполнен,
70,486,10,2026-04-27 05:15:44,доставлен,605.5,GooglePay,"[{""dish_id"": 191, ""quantity"": 2, ""price_at_order"": 18.5}, {""dish_id"": 201, ""quantity"": 1, ""price_at_order"": 54.7}, {""dish_id"": 185, ""quantity"": 3, ""price_at_order"": 114.8}, {""dish_id"": 180, ""quantity"": 1, ""price_at_order"": 104.2}, {""dish_id"": 181, ""quantity"": 1, ""price_at_order"": 65.2}]",Гусев Елизар,2026-04-27 05:18:44,2026-04-27 05:37:44,выполнен,
71,105,1,2026-03-19 20:17:54,готовится,480.9,Карта,"[{""dish_id"": 18, ""quantity"": 2, ""price_at_order"": 38.4}, {""dish_id"": 11, ""quantity"": 3, ""price_at_order"": 134.7}]",Шарапов Селиверст,2026-03-19 20:27:54,,выполнен,
72,850,3,2026-06-06 12:50:12,доставлен,389.6,Наличные,"[{""dish_id"": 47, ""quantity"": 3, ""price_at_order"": 97.4}, {""dish_id"": 47, ""quantity"": 1, ""price_at_order"": 97.4}]",Елисеев Лариса,2026-06-06 12:59:12,2026-06-06 13:58:12,выполнен,
73,951,8,2026-05-30 09:57:25,доставлен,701.7,Наличные,"[{""dish_id"": 143, ""quantity"": 3, ""price_at_order"": 45.8}, {""dish_id"": 146, ""quantity"": 2, ""price_at_order"": 110.4}, {""dish_id"": 142, ""quantity"": 3, ""price_at_order"": 83.7}, {""dish_id"": 144, ""quantity"": 2, ""price_at_order"": 46.2}]",Голубева Макар,2026-05-30 10:03:25,2026-05-30 11:18:25,выполнен,
74,812,7,2026-03-16 04:10:38,доставлен,553.6,GooglePay,"[{""dish_id"": 136, ""quantity"": 3, ""price_at_order"": 105.6}, {""dish_id"": 139, ""quantity"": 2, ""price_at_order"": 65.6}, {""dish_id"": 136, ""quantity"": 1, ""price_at_order"": 105.6}]",Козлова Иннокентий,2026-03-16 04:16:38,2026-03-16 04:56:38,выполнен,
75,741,10,2025-12-19 21:31:15,доставлен,425.5,СБП,"[{""dish_id"": 198, ""quantity"": 2, ""price_at_order"": 39.4}, {""dish_id"": 187, ""quantity"": 2, ""price_at_order"": 71.5}, {""dish_id"": 186, ""quantity"": 3, ""price_at_order"": 67.9}]",Бобылева Капитон,2025-12-19 21:37:15,2025-12-19 22:06:15,выполнен,
76,339,1,2026-05-11 18:26:18,принят,740.9,ApplePay,"[{""dish_id"": 11, ""quantity"": 2, ""price_at_order"": 134.7}, {""dish_id"": 6, ""quantity"": 2, ""price_at_order"": 79.6}, {""dish_id"": 16, ""quantity"": 1, ""price_at_order"": 93.1}, {""dish_id"": 3, ""quantity"": 2, ""price_at_order"": 109.6}]",Прохоров Макар,2026-05-11 18:29:18,,в пути,
